<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,02/11/18,02:16,6342.9400000,6342.9400000,6342.9300000,6342.9400000,3
GDAX.BTC-USD,1,02/11/18,02:17,6342.9400000,6342.9400000,6342.9300000,6342.9400000,1
GDAX.BTC-USD,1,02/11/18,02:18,6342.9300000,6342.9400000,6342.9300000,6342.9300000,3
GDAX.BTC-USD,1,02/11/18,02:19,6342.9400000,6344.7100000,6342.9300000,6344.7100000,4
GDAX.BTC-USD,1,02/11/18,02:20,6344.7000000,6344.7100000,6344.7000000,6344.7100000,2
GDAX.BTC-USD,1,02/11/18,02:21,6344.7100000,6344.7100000,6344.7000000,6344.7100000,3
GDAX.BTC-USD,1,02/11/18,02:22,6344.7100000,6344.7100000,6344.7000000,6344.7100000,2
GDAX.BTC-USD,1,02/11/18,02:23,6344.7100000,6346.0000000,6344.7000000,6346.0000000,5
GDAX.BTC-USD,1,02/11/18,02:24,6346.0000000,6346.0000000,6345.9900000,6345.9900000,1
GDAX.BTC-USD,1,02/11/18,02:25,6345.9900000,6349.9900000,6345.9900000,6349.9900000,24
GDAX.BTC-USD,1,02/11/18,02:26,6349.9800000,6349.9900000,6349.9800000,6349.9900000,2
GDAX.BTC-USD,1,02/11/18,02:27,6349.9900000,6349.9900000,6349.9800000,6349.9900000,1
GDAX.BTC-USD,1,02/11/18,02:28,6349.9900000,6349.9900000,6349.9800000,6349.9900000,4
GDAX.BTC-USD,1,02/11/18,02:29,6349.9900000,6349.9900000,6345.0000000,6345.0100000,21
GDAX.BTC-USD,1,02/11/18,02:30,6345.0100000,6345.0100000,6343.3100000,6343.8800000,2
GDAX.BTC-USD,1,02/11/18,02:31,6343.8800000,6344.6400000,6343.8700000,6344.3200000,3
GDAX.BTC-USD,1,02/11/18,02:32,6343.9200000,6343.9200000,6343.8800000,6343.8900000,1
GDAX.BTC-USD,1,02/11/18,02:33,6343.8900000,6344.3500000,6343.8800000,6344.3400000,2
GDAX.BTC-USD,1,02/11/18,02:34,6344.3500000,6345.2200000,6344.3500000,6345.2200000,2
GDAX.BTC-USD,1,02/11/18,02:35,6345.2200000,6345.2200000,6344.8800000,6344.8900000,3
GDAX.BTC-USD,1,02/11/18,02:36,6344.8900000,6344.8900000,6343.0800000,6343.0900000,3
GDAX.BTC-USD,1,02/11/18,02:37,6343.0900000,6343.0900000,6343.0800000,6343.0900000,3
GDAX.BTC-USD,1,02/11/18,02:38,6343.0900000,6343.0900000,6343.0800000,6343.0800000,2
GDAX.BTC-USD,1,02/11/18,02:39,6343.0800000,6343.0800000,6342.9300000,6342.9400000,13
GDAX.BTC-USD,1,02/11/18,02:40,6342.9300000,6342.9400000,6342.9300000,6342.9400000,1
